,id,n_tokens,n_axes,show_shadow,n_bananas,n_scorpions,response_time_sender,response_time_interpreter,signal,world,opened
168,5446,2,2,0,2,1,4810,6694,"1, 0, 1","1, 0, 1","1, 0, 1"
56,5447,2,2,1,1,2,6306,2495,"1, 0, 0","1, 0, 0","1, 0, 0"
170,5448,2,2,0,1,2,6333,3316,"1, 0, 0","1, 0, 0","1, 0, 0"
169,5449,1,2,1,2,1,7536,23695,"1, 0, 0","1, 1, 0","1, 0, 0"
1022,5450,2,1,0,1,2,4475,5061,"0, 1, 0","0, 1, 0","0, 1, 0"
1009,5451,2,1,1,1,2,6457,3454,"1, 0, 0","1, 0, 0","1, 0, 0"
172,5452,1,2,1,1,2,4323,4290,"0, 1, 0","0, 1, 0","0, 1, 0"
173,5453,1,2,0,2,1,6974,5249,"0, 1, 0","1, 0, 1","1, 0, 1"
171,5454,1,2,0,1,2,8561,4244,"0, 1, 0","0, 1, 0","0, 1, 0"
999,5455,1,1,1,1,2,11327,2207,"0, 1, 0","0, 1, 0","0, 1, 0"
330,5456,2,2,0,1,2,36595,4323,"1, 0, 0","1, 0, 0","1, 0, 0"
149,5457,2,2,1,2,1,10471,9260,"1, 0, 1","1, 0, 1","1, 0, 1"
735,5458,1,2,1,2,1,4377,6049,"0, 1, 0","1, 0, 1","0, 1, 0"
148,5459,2,1,1,2,1,4396,8636,"0, 1, 1","0, 1, 1","0, 1, 0"
915,5460,2,1,0,1,2,5742,5418,"0, 1, 0","0, 1, 0","0, 1, 0"
63,5461,1,1,0,2,1,16389,2581,"0, 1, 0","0, 1, 1","0, 1, 0"
150,5462,2,1,1,1,2,15650,7478,"0, 1, 0","0, 1, 0","0, 1, 0"
889,5463,2,1,0,2,1,5471,15886,"0, 1, 1","0, 1, 1","0, 0, 1"
891,5464,1,2,1,1,2,3977,2996,"0, 0, 1","0, 0, 1","0, 0, 1"
151,5465,1,1,1,2,1,2258,9588,"0, 1, 0","1, 0, 1","0, 1, 0"
147,5466,1,2,0,2,1,42715,5614,"0, 0, 1","1, 0, 1","0, 0, 1"
179,5467,1,1,0,1,2,4469,5732,"0, 1, 0","0, 1, 0","0, 1, 0"
618,5468,1,2,0,1,2,5999,4075,"0, 0, 1","0, 0, 1","0, 0, 1"
178,5469,2,2,0,2,1,5132,6687,"0, 1, 1","0, 1, 1","0, 1, 1"
879,5470,1,1,1,1,2,3401,7438,"0, 1, 0","0, 1, 0","0, 1, 0"
596,5471,2,2,1,1,2,2872,4192,"0, 0, 1","0, 0, 1","0, 0, 1"
919,5472,2,2,1,2,1,4380,7108,"0, 1, 1","0, 1, 1","0, 1, 1"
183,5473,2,1,1,2,1,13710,3252,"1, 0, 1","1, 0, 1","1, 0, 0"
185,5474,1,1,0,2,1,6119,3860,"1, 0, 0","1, 0, 1","1, 0, 0"
799,5475,2,1,0,2,1,4443,13505,"0, 1, 1","0, 1, 1","0, 0, 1"
184,5476,1,1,1,2,1,26297,5044,"1, 0, 0","0, 1, 1","0, 0, 1"
926,5477,1,1,0,1,2,4400,2702,"0, 0, 1","0, 0, 1","0, 0, 1"
801,5478,2,2,0,2,1,3702,5076,"1, 0, 1","1, 0, 1","1, 0, 1"
790,5479,2,2,1,1,2,4297,2509,"1, 0, 0","1, 0, 0","1, 0, 0"
804,5480,2,2,0,1,2,3244,5772,"0, 1, 0","0, 1, 0","0, 1, 0"
800,5481,1,2,1,2,1,4372,2251,"0, 0, 1","1, 1, 0","0, 0, 1"
633,5482,2,1,0,1,2,4593,3351,"0, 1, 0","0, 1, 0","0, 1, 0"
187,5483,2,1,1,1,2,2364,4613,"0, 0, 1","0, 0, 1","0, 0, 1"
177,5484,1,2,1,1,2,2143,2879,"0, 0, 1","0, 0, 1","0, 0, 1"
186,5485,1,2,0,2,1,5345,2516,"1, 0, 0","1, 0, 1","1, 0, 0"
190,5486,1,2,0,1,2,4054,2974,"0, 1, 0","0, 1, 0","0, 1, 0"
677,5487,1,1,1,1,2,15141,6012,"1, 0, 0","1, 0, 0","1, 0, 0"
192,5488,1,1,1,2,1,7023,6863,"1, 0, 0","0, 1, 1","0, 0, 1"
191,5489,1,2,1,2,1,4290,6528,"0, 0, 1","1, 1, 0","1, 1, 0"
818,5490,1,2,0,1,2,4296,5414,"0, 1, 0","0, 1, 0","1, 0, 1"
699,5491,1,1,0,2,1,2987,4168,"1, 0, 0","1, 0, 1","1, 0, 0"
805,5492,2,2,1,1,2,3680,3377,"0, 0, 1","0, 0, 1","0, 0, 1"
811,5493,1,2,1,1,2,3295,2469,"1, 0, 0","1, 0, 0","1, 0, 0"
817,5494,2,2,1,2,1,24436,7415,"1, 1, 0","1, 1, 0","1, 1, 0"
825,5495,1,1,0,1,2,2541,1828,"0, 1, 0","0, 1, 0","0, 1, 0"
812,5496,2,1,0,1,2,3798,3785,"1, 0, 0","1, 0, 0","1, 0, 0"
227,5497,1,1,1,1,2,2207,1991,"0, 1, 0","0, 1, 0","0, 1, 0"
991,5498,2,1,0,2,1,9778,4530,"1, 1, 0","1, 1, 0","1, 0, 0"
911,5499,2,2,0,1,2,3997,1991,"1, 0, 0","1, 0, 0","1, 0, 0"
226,5500,1,2,0,2,1,3401,3434,"1, 0, 0","1, 1, 0","1, 0, 0"
228,5501,2,1,1,2,1,5098,3863,"1, 1, 0","1, 1, 0","1, 0, 0"
819,5502,2,2,0,2,1,5947,5434,"0, 1, 1","0, 1, 1","0, 1, 1"
231,5503,2,1,1,1,2,2485,3071,"0, 0, 1","0, 0, 1","0, 0, 1"
195,5504,1,2,0,1,2,2512,1841,"0, 0, 1","0, 0, 1","0, 0, 1"
671,5505,1,2,1,1,2,3432,2625,"0, 0, 1","0, 0, 1","0, 0, 1"
188,5506,2,1,0,1,2,2644,5632,"0, 1, 0","0, 1, 0","0, 1, 0"
203,5507,2,2,0,1,2,4163,6044,"0, 0, 1","0, 0, 1","1, 1, 0"
282,5508,2,2,0,2,1,4076,5177,"1, 0, 1","1, 0, 1","1, 0, 1"
110,5509,1,1,1,2,1,21542,3286,"1, 0, 0","0, 1, 1","1, 0, 0"
196,5510,1,1,0,2,1,2276,2670,"0, 0, 1","0, 1, 1","0, 0, 1"
204,5511,2,2,1,2,1,4517,9544,"0, 1, 1","0, 1, 1","0, 1, 1"
729,5512,1,1,1,1,2,6229,2379,"1, 0, 0","1, 0, 0","1, 0, 0"
201,5513,1,2,0,2,1,2191,6295,"1, 0, 0","1, 1, 0","1, 0, 0"
202,5514,2,1,1,1,2,2946,1822,"1, 0, 0","1, 0, 0","0, 0, 0"
199,5515,1,2,1,2,1,8972,6495,"0, 1, 0","1, 0, 1","1, 0, 1"
609,5516,2,2,1,1,2,3438,2164,"0, 1, 0","0, 1, 0","0, 1, 0"
232,5517,1,1,0,1,2,4098,2627,"0, 0, 1","0, 0, 1","0, 0, 1"
223,5518,2,1,0,2,1,5020,6547,"1, 1, 0","1, 1, 0","1, 0, 0"
234,5519,2,1,1,2,1,5492,4476,"1, 0, 1","1, 0, 1","1, 0, 0"
881,5520,2,2,1,2,1,5206,7810,"1, 1, 0","1, 1, 0","1, 1, 0"
363,5521,2,1,1,2,1,5246,15297,"1, 0, 1","1, 0, 1","0, 1, 0"
91,5522,1,1,0,2,1,2975,2179,"1, 0, 0","1, 1, 0","1, 0, 0"
175,5523,2,1,0,2,1,4402,4321,"1, 0, 1","1, 0, 1","1, 0, 0"
176,5524,1,1,1,2,1,2770,5275,"0, 0, 1","0, 1, 1","0, 0, 1"
969,5525,1,1,0,1,2,2244,4549,"0, 0, 1","0, 0, 1","0, 0, 1"
181,5526,2,2,0,2,1,6230,7569,"1, 1, 0","1, 1, 0","1, 1, 0"
982,5527,2,2,1,1,2,2592,3949,"1, 0, 0","1, 0, 0","1, 0, 0"
909,5528,2,2,0,1,2,2364,4251,"1, 0, 0","1, 0, 0","1, 0, 0"
182,5529,1,2,1,2,1,1928,8877,"0, 0, 1","0, 1, 1","1, 1, 0"
768,5530,2,1,0,1,2,2203,10322,"0, 1, 0","0, 1, 0","0, 1, 0"
617,5531,2,1,1,1,2,2337,2998,"1, 0, 0","1, 0, 0","1, 0, 0"
210,5532,1,2,1,1,2,1867,15484,"1, 0, 0","1, 0, 0","1, 0, 0"
214,5533,1,2,0,2,1,2667,12515,"0, 0, 1","0, 1, 1","0, 0, 1"
209,5534,1,2,0,1,2,4388,5329,"0, 0, 1","0, 0, 1","0, 0, 1"
205,5535,1,1,1,1,2,2503,5303,"0, 1, 0","0, 1, 0","0, 1, 0"
99,5536,2,1,1,2,1,3540,6974,"1, 0, 1","1, 0, 1","1, 0, 0"
949,5537,2,1,0,2,1,5498,3946,"1, 1, 0","1, 1, 0","0, 0, 1"
218,5538,1,1,0,1,2,4184,2170,"0, 0, 1","0, 0, 1","0, 0, 1"
133,5539,2,2,1,1,2,5662,2810,"0, 1, 0","0, 1, 0","0, 1, 0"
225,5540,1,2,1,2,1,8290,5707,"0, 0, 1","1, 1, 0","1, 1, 0"
221,5541,2,1,1,1,2,4499,13223,"0, 1, 0","0, 1, 0","0, 1, 0"
224,5542,1,2,0,2,1,2884,2472,"1, 0, 0","1, 0, 1","1, 0, 0"
774,5543,1,1,1,1,2,4006,3088,"0, 0, 1","0, 0, 1","0, 0, 1"
220,5544,2,2,1,2,1,5008,6164,"1, 0, 1","1, 0, 1","1, 0, 1"
219,5545,1,1,0,2,1,2473,3255,"1, 0, 0","1, 0, 1","1, 0, 0"
216,5546,1,1,1,2,1,2473,2402,"0, 0, 1","0, 1, 1","0, 0, 1"
657,5547,2,2,0,2,1,5497,10209,"0, 1, 1","0, 1, 1","0, 1, 1"
222,5548,2,2,0,1,2,3704,4028,"0, 0, 1","0, 0, 1","0, 0, 1"
207,5549,2,1,0,1,2,3100,4385,"0, 1, 0","0, 1, 0","0, 1, 0"
780,5550,1,2,1,1,2,3223,2080,"1, 0, 0","1, 0, 0","1, 0, 0"
217,5551,1,2,0,1,2,3437,2958,"0, 0, 1","0, 0, 1","0, 0, 1"
230,5552,1,1,0,1,2,2635,3833,"1, 0, 0","1, 0, 0","1, 0, 0"
229,5553,2,1,1,1,2,1953,2700,"1, 0, 0","1, 0, 0","1, 0, 0"
953,5554,2,2,1,2,1,4822,8558,"1, 1, 0","1, 1, 0","1, 1, 0"
808,5555,2,2,0,2,1,3777,4922,"1, 0, 1","1, 0, 1","1, 0, 1"
810,5556,1,2,1,1,2,3660,3371,"1, 0, 0","1, 0, 0","1, 0, 0"
995,5557,2,1,1,2,1,4483,2782,"1, 1, 0","1, 1, 0","1, 0, 0"
807,5558,2,2,1,1,2,2468,5325,"0, 0, 1","0, 0, 1","0, 0, 1"
814,5559,1,2,0,2,1,3354,2882,"0, 0, 1","0, 1, 1","0, 0, 1"
815,5560,1,1,0,2,1,2220,3381,"1, 0, 0","1, 1, 0","1, 0, 0"
698,5561,2,2,0,1,2,3425,6622,"0, 0, 1","0, 0, 1","0, 0, 1"
816,5562,1,2,0,1,2,3487,3701,"0, 1, 0","0, 1, 0","0, 1, 0"
937,5563,2,1,0,2,1,3017,3048,"0, 0, 1","1, 0, 1","0, 0, 1"
829,5564,1,2,1,2,1,2711,2032,"1, 0, 0","0, 1, 1","0, 0, 0"
687,5565,1,1,1,1,2,2195,3587,"0, 0, 1","0, 0, 1","0, 0, 1"
836,5566,1,1,1,2,1,14173,6533,"0, 0, 1","1, 0, 1","1, 0, 0"
833,5567,2,1,0,1,2,1919,1962,"1, 0, 0","1, 0, 0","1, 0, 0"
845,5568,1,2,1,2,1,3314,4858,"1, 0, 0","0, 1, 1","1, 0, 0"
839,5569,1,1,0,2,1,1910,4155,"0, 0, 1","0, 1, 1","0, 0, 1"
727,5570,1,2,1,1,2,3664,7721,"0, 1, 0","0, 1, 0","0, 1, 0"
840,5571,1,1,0,1,2,2774,2276,"0, 1, 0","0, 1, 0","0, 1, 0"
847,5572,1,1,1,1,2,2511,4000,"0, 0, 1","0, 0, 1","0, 0, 1"
832,5573,2,2,0,1,2,3649,3681,"0, 0, 1","0, 0, 1","0, 0, 1"
1006,5574,2,1,1,2,1,3788,9826,"1, 1, 0","1, 1, 0","1, 0, 0"
838,5575,2,1,1,1,2,3987,1998,"1, 0, 0","1, 0, 0","1, 0, 0"
841,5576,1,1,1,2,1,6259,4029,"1, 0, 0","0, 1, 1","0, 0, 1"
262,5577,1,2,0,1,2,3759,4146,"1, 0, 0","1, 0, 0","1, 0, 0"
1020,5578,2,2,1,1,2,1974,3646,"0, 1, 0","0, 1, 0","0, 1, 0"
866,5579,2,2,1,2,1,5492,2542,"1, 1, 0","1, 1, 0","1, 1, 0"
261,5580,2,1,0,1,2,3102,2878,"0, 0, 1","0, 0, 1","0, 0, 1"
112,5581,2,1,0,2,1,3728,3461,"1, 0, 1","1, 0, 1","1, 0, 0"
320,5582,1,2,0,2,1,3611,2000,"0, 0, 1","1, 0, 1","0, 0, 1"
581,5583,2,2,0,2,1,3436,6265,"0, 1, 1","0, 1, 1","0, 1, 1"
357,5584,1,2,1,1,2,5019,3604,"0, 1, 0","0, 1, 0","0, 1, 0"
88,5585,2,2,0,1,2,11529,18096,"0, 0, 1","0, 0, 1","0, 0, 1"
211,5586,1,1,1,2,1,18628,5176,"0, 0, 1","0, 1, 1","1, 0, 0"
848,5587,2,2,1,2,1,8866,8284,"1, 0, 1","1, 0, 1","1, 0, 1"
907,5588,1,2,0,2,1,12808,7084,"0, 0, 1","0, 1, 1","0, 0, 1"
122,5589,1,2,1,2,1,20033,31497,"0, 0, 1","1, 0, 1","0, 0, 1"
206,5590,1,1,0,1,2,4448,6743,"0, 0, 1","0, 0, 1","0, 0, 1"
213,5591,2,1,1,2,1,5980,3004,"1, 0, 1","1, 0, 1","1, 0, 0"
621,5592,1,2,0,1,2,3865,6390,"0, 1, 0","0, 1, 0","0, 1, 0"
212,5593,2,1,0,1,2,4541,5484,"0, 0, 1","0, 0, 1","0, 0, 1"
970,5594,2,2,0,2,1,6388,5799,"1, 0, 1","1, 0, 1","1, 0, 0"
208,5595,1,1,0,2,1,10287,9746,"0, 0, 1","1, 0, 1","0, 0, 1"
647,5596,1,1,1,1,2,3813,3435,"0, 0, 1","0, 0, 1","0, 0, 1"
883,5597,2,1,1,1,2,5928,8873,"0, 0, 1","0, 0, 1","0, 0, 1"
886,5598,2,2,1,1,2,6167,11526,"0, 1, 0","0, 1, 0","0, 1, 0"
590,5599,2,1,0,2,1,20092,3308,"0, 0, 1","0, 1, 1","0, 0, 1"
250,5600,2,2,0,1,2,4440,3734,"0, 1, 0","0, 1, 0","0, 1, 0"
984,5601,2,2,1,2,1,8159,7320,"1, 0, 1","1, 0, 1","1, 0, 1"
665,5602,1,2,1,2,1,24554,11197,"0, 0, 0","1, 0, 1","0, 0, 1"
253,5603,2,1,1,2,1,6625,4952,"1, 0, 0","1, 0, 1","0, 1, 0"
254,5604,2,1,0,1,2,4708,3511,"1, 0, 0","1, 0, 0","1, 0, 0"
248,5605,1,1,0,2,1,3972,2884,"0, 0, 1","0, 1, 1","0, 0, 1"
98,5606,2,1,1,1,2,12304,6637,"0, 1, 1","1, 0, 0","1, 0, 0"
249,5607,2,1,0,2,1,11675,3959,"1, 0, 0","1, 0, 1","1, 0, 0"
245,5608,1,2,1,1,2,7613,2190,"1, 0, 0","1, 0, 0","1, 0, 0"
131,5609,1,1,1,2,1,5199,14423,"0, 0, 1","0, 1, 1","0, 1, 0"
247,5610,1,2,0,2,1,9658,4283,"0, 0, 1","1, 1, 0","0, 0, 1"
251,5611,1,1,0,1,2,6484,5256,"0, 1, 0","0, 1, 0","0, 1, 0"
242,5612,1,2,0,1,2,5850,3347,"0, 1, 0","0, 1, 0","0, 1, 0"
936,5613,2,2,0,2,1,15485,9888,"1, 0, 1","1, 0, 1","1, 0, 1"
252,5614,1,1,1,1,2,6802,1993,"1, 0, 0","1, 0, 0","1, 0, 0"
244,5615,2,2,1,1,2,3401,4578,"0, 0, 1","0, 0, 1","0, 0, 1"
255,5616,2,1,1,2,1,9882,4081,"0, 1, 0","0, 1, 1","0, 0, 1"
694,5617,2,1,0,2,1,18328,2813,"1, 0, 0","1, 0, 1","1, 0, 0"
257,5618,1,1,0,1,2,5168,2557,"0, 0, 1","0, 0, 1","0, 0, 1"
987,5619,2,2,1,1,2,36691,3670,"1, 0, 0","1, 0, 0","1, 0, 0"
259,5620,1,2,1,2,1,9103,2535,"0, 0, 1","1, 1, 0","0, 0, 1"
835,5621,2,1,1,1,2,6195,8487,"0, 1, 0","0, 1, 0","0, 1, 0"
272,5622,1,2,0,2,1,6817,1989,"1, 0, 0","0, 1, 1","1, 0, 0"
273,5623,1,1,1,1,2,10034,2918,"0, 0, 1","0, 0, 1","0, 0, 1"
978,5624,2,2,1,2,1,4087,4659,"1, 1, 0","1, 1, 0","1, 1, 0"
961,5625,1,1,0,2,1,3529,1690,"0, 0, 1","0, 1, 1","0, 0, 0"
279,5626,1,1,1,2,1,5366,5509,"1, 0, 0","1, 1, 0","1, 0, 0"
260,5627,2,2,0,2,1,9397,2653,"0, 1, 1","0, 1, 1","0, 1, 1"
541,5628,2,2,0,1,2,6033,6686,"0, 1, 0","0, 1, 0","0, 1, 0"
928,5629,2,1,0,1,2,14261,3278,"0, 0, 1","0, 0, 1","0, 0, 1"
258,5630,1,2,1,1,2,6078,2004,"0, 0, 1","0, 0, 1","0, 0, 1"
256,5631,1,2,0,1,2,10150,3211,"1, 0, 0","1, 0, 0","1, 0, 0"
246,5632,1,2,0,2,1,14806,5542,"0, 0, 1","1, 1, 0","1, 1, 0"
1004,5633,2,1,0,1,2,14775,4287,"0, 1, 0","0, 1, 0","0, 1, 0"
263,5634,2,2,1,1,2,6345,3232,"1, 0, 0","1, 0, 0","1, 0, 0"
870,5635,1,1,1,2,1,3299,4863,"1, 0, 0","1, 1, 0","1, 0, 0"
871,5636,2,1,1,2,1,3450,9370,"0, 1, 0","0, 1, 1","0, 0, 1"
641,5637,1,1,1,1,2,4378,3577,"0, 1, 0","0, 1, 0","0, 1, 0"
872,5638,1,2,1,1,2,6282,3200,"0, 0, 1","0, 0, 1","0, 0, 1"
291,5639,1,2,1,2,1,4087,8115,"0, 1, 0","1, 0, 1","1, 0, 1"
288,5640,2,2,0,2,1,7773,5075,"0, 1, 1","0, 1, 1","0, 1, 1"
142,5641,2,1,0,2,1,4594,9189,"0, 1, 0","0, 1, 1","0, 1, 0"
285,5642,2,2,1,2,1,12276,2807,"1, 0, 1","1, 0, 1","1, 0, 1"
1017,5643,1,2,0,1,2,3992,10209,"1, 0, 0","1, 0, 0","0, 1, 1"
1019,5644,2,1,1,1,2,4798,2194,"0, 1, 0","0, 1, 0","0, 1, 0"
292,5645,2,2,0,1,2,8297,5441,"0, 0, 1","0, 0, 1","0, 0, 1"
287,5646,1,1,0,1,2,2521,5043,"1, 0, 0","1, 0, 0","1, 0, 0"
290,5647,1,1,0,2,1,1952,3000,"0, 1, 0","0, 1, 1","0, 1, 0"
358,5648,1,1,1,2,1,10092,6045,"1, 0, 0","1, 0, 1","0, 1, 0"
243,5649,1,2,1,2,1,7620,6195,"0, 0, 1","1, 1, 0","1, 1, 0"
90,5650,1,2,0,1,2,12372,10117,"0, 0, 1","0, 0, 1","1, 1, 0"
238,5651,1,1,0,2,1,5687,5932,"0, 1, 0","0, 1, 1","0, 1, 0"
236,5652,2,2,1,1,2,5372,15613,"1, 0, 0","1, 0, 0","1, 0, 0"
770,5653,1,2,1,1,2,3149,10488,"0, 1, 0","0, 1, 0","0, 1, 0"
240,5654,2,2,1,2,1,5176,13529,"1, 1, 0","1, 1, 0","1, 1, 0"
239,5655,1,1,0,1,2,3489,3242,"0, 0, 1","0, 0, 1","0, 0, 1"
235,5656,2,1,0,1,2,6418,8777,"0, 1, 1","1, 0, 0","0, 0, 1"
588,5657,1,1,1,1,2,4029,5342,"0, 0, 1","0, 0, 1","0, 0, 1"
894,5658,2,1,0,2,1,8437,10114,"1, 1, 0","1, 1, 0","1, 0, 0"
237,5659,2,2,0,1,2,3511,5054,"0, 1, 0","0, 1, 0","0, 1, 0"
895,5660,1,2,0,2,1,4341,3910,"1, 0, 0","0, 1, 1","1, 0, 0"
241,5661,2,1,1,2,1,4490,5076,"0, 0, 1","1, 0, 1","0, 0, 1"
947,5662,2,2,0,2,1,5104,11537,"0, 1, 1","0, 1, 1","0, 1, 1"
620,5663,2,1,1,1,2,3068,3825,"1, 0, 0","1, 0, 0","1, 0, 0"
267,5664,1,2,1,2,1,3981,4643,"0, 0, 1","1, 1, 0","0, 0, 1"
268,5665,1,1,0,2,1,3280,3272,"0, 0, 1","0, 1, 1","0, 0, 1"
269,5666,1,2,1,1,2,3206,4111,"1, 0, 0","1, 0, 0","1, 0, 0"
856,5667,1,1,0,1,2,3108,1915,"1, 0, 0","1, 0, 0","1, 0, 0"
135,5668,1,1,1,1,2,3672,3835,"1, 0, 0","1, 0, 0","1, 0, 0"
857,5669,2,2,0,1,2,5229,3269,"0, 1, 0","0, 1, 0","0, 1, 0"
854,5670,2,1,1,2,1,3090,4058,"0, 0, 1","1, 0, 1","0, 0, 1"
627,5671,2,1,1,1,2,4400,3886,"0, 0, 1","0, 0, 1","0, 0, 1"
860,5672,1,1,1,2,1,3937,3036,"0, 0, 1","1, 0, 1","0, 0, 1"
855,5673,1,2,0,1,2,3852,6741,"0, 1, 0","0, 1, 0","0, 1, 0"
266,5674,2,2,1,1,2,4070,4439,"1, 0, 0","1, 0, 0","1, 0, 0"
674,5675,2,2,1,2,1,4450,6962,"1, 1, 0","1, 1, 0","1, 1, 0"
924,5676,2,1,0,1,2,6030,6959,"0, 0, 1","0, 0, 1","0, 0, 1"
271,5677,2,1,0,2,1,2713,3228,"1, 0, 0","1, 0, 1","1, 0, 0"
806,5678,1,2,0,2,1,4698,2705,"0, 1, 0","1, 0, 1","0, 1, 0"
265,5679,2,2,0,2,1,5130,8692,"1, 0, 1","1, 0, 1","1, 0, 1"
277,5680,2,2,0,1,2,2925,4305,"0, 1, 0","0, 1, 0","0, 1, 0"
138,5681,2,2,1,2,1,6920,11442,"1, 1, 0","1, 1, 0","1, 1, 0"
278,5682,1,2,1,2,1,3166,6633,"1, 0, 0","1, 0, 1","1, 0, 0"
283,5683,2,1,1,2,1,4755,3063,"0, 1, 0","1, 1, 0","0, 1, 0"
274,5684,2,1,0,1,2,4931,3756,"0, 0, 1","0, 0, 1","0, 0, 1"
141,5685,1,1,0,2,1,2963,3553,"1, 0, 0","1, 0, 1","1, 0, 0"
275,5686,2,1,1,1,2,3429,2340,"1, 0, 0","1, 0, 0","1, 0, 0"
